Date,Open,High,Low,Close,Volume,Daily_Return,Log_Return
2023-03-19,28038.67578125,28440.560546875,26907.716796875,26969.50390625,37769448859.0,-0.017437016826347684,-0.017590832282008226
2023-03-20,27767.236328125,28527.724609375,27242.880859375,28041.6015625,44774027664.0,0.03975222013637225,0.03898243489839972
2023-03-21,28175.81640625,28439.5625,27439.646484375,27768.392578125,36102192830.0,-0.009742987887694787,-0.009790761351629927
2023-03-22,27307.4375,28803.3359375,26759.99609375,28158.720703125,33382021890.0,0.014056561750984686,0.013958684432810885
2023-03-23,28333.97265625,28729.84375,27183.36328125,27301.95703125,24220433689.0,-0.030426228553057766,-0.030898714933400115
2023-03-24,27493.28515625,28388.4375,27039.265625,28324.111328125,25980310960.0,0.03743886548883779,0.03675504655654445
2023-03-25,27494.70703125,27791.826171875,27196.234375,27487.337890625,13383005987.0,-0.029542795811182576,-0.029987974008091726
2023-03-26,27994.330078125,28178.14453125,27445.046875,27495.5234375,13878363192.0,0.0002977933660790466,0.00029774903443550077
2023-03-27,27139.888671875,28037.92578125,26606.689453125,27994.068359375,18188895178.0,0.01813185782799298,0.01796943609414483
2023-03-28,27268.130859375,27460.71875,26677.818359375,27132.888671875,17783600385.0,-0.03076293436325761,-0.03124604723332817
2023-03-29,28348.44140625,28619.54296875,27259.662109375,27267.03125,20684945906.0,0.004943910681506125,0.004931729686430081
